database,feature,frequency
HiRID,hemoglobin,3
HiRID,mchc,2
HiRID,spo,2
HiRID,base_excess,1
HiRID,respiratory,1
HiRID,map,1
HiRID,mcv,1
HiRID,platelets_in_blood,1
HiRID,potassium,1
HiRID,richmond_agitation_sedation_scale,1
HiRID,invasive_systolic_arterial_pressure,1
HiRID,sodium,1
HiRID,temperature,1
HiRID,total_bilirubin,1
HiRID,urine_output,1
HiRID,ventilatory_mode,1
HiRID,wbc,1
HiRID,lactate,1
HiRID,invasive_diastolic_arterial_pressure,1
HiRID,bicarbonate,1
HiRID,end_tidal_carbon_dioxide_concentration,1
HiRID,calcium,1
HiRID,cardiac_output,1
HiRID,circadian_rhythm,1
HiRID,creatinine,1
HiRID,crp,1
HiRID,crrt,1
HiRID,fio2,1
HiRID,infusion_of_saline_solution,1
HiRID,fluid_balance_input,1
HiRID,fluid_balance_output,1
HiRID,glasgow_come_scale_eye_opening_subscore,1
HiRID,glasgow_come_scale_motor_response_subscore,1
HiRID,glasgow_come_scale_verbal_response_subscore,1
HiRID,heart,1
HiRID,weight,1
