database,feature,frequency
MIMIC,age,46
MIMIC,bun,40
MIMIC,creatinine,36
MIMIC,lactate,36
MIMIC,heart,35
MIMIC,respiratory,35
MIMIC,platelet,34
MIMIC,temperature,31
MIMIC,wbc,28
MIMIC,sodium,27
MIMIC,aptt,26
MIMIC,spo,24
MIMIC,anion_gap,23
MIMIC,inr,23
MIMIC,hemoglobin,23
MIMIC,sbp,23
MIMIC,mechanical_ventilation,22
MIMIC,urine_output,22
MIMIC,sofa,22
MIMIC,glucose,20
MIMIC,pao2,20
MIMIC,potassium,19
MIMIC,map,19
MIMIC,pt,19
MIMIC,ph,18
MIMIC,gcs,17
MIMIC,chloride,17
MIMIC,bicarbonate,15
MIMIC,calcium,14
MIMIC,gender,14
MIMIC,dbp,13
MIMIC,albumin,13
MIMIC,bmi,13
MIMIC,alt,13
MIMIC,weight,13
MIMIC,total_bilirubin,12
MIMIC,diabetes,12
MIMIC,ast,12
MIMIC,vasopressor,11
MIMIC,paco,11
MIMIC,rdw,10
MIMIC,base_excess,9
MIMIC,hematocrit,9
MIMIC,hypertension,9
MIMIC,heart_failure,8
MIMIC,alp,8
MIMIC,crrt,8
MIMIC,neutrophils,7
MIMIC,rbc,6
MIMIC,renal_disease,6
MIMIC,aps_iii,6
MIMIC,mchc,5
MIMIC,mcv,5
MIMIC,lymphocytes,5
MIMIC,cci,5
MIMIC,cerebrovascular_disease,5
MIMIC,aki,5
MIMIC,monocytes,4
MIMIC,copd,4
MIMIC,ckd,4
MIMIC,mortality,4
MIMIC,malignant_cancer,4
MIMIC,charlson_comorbidity_index,4
MIMIC,mch,4
MIMIC,magnesium,4
MIMIC,ethnicity,4
MIMIC,clinic,4
MIMIC,comorbidity,3
MIMIC,liver_disease,3
MIMIC,nlr,3
MIMIC,height,3
MIMIC,white,3
MIMIC,sd,3
MIMIC,pulmonary_infection,3
MIMIC,afib,3
MIMIC,ag,3
MIMIC,aids,3
MIMIC,ami,3
MIMIC,antibiotic,3
MIMIC,stroke,3
MIMIC,severe_liver_disease,3
MIMIC,sapsii,3
MIMIC,race,3
MIMIC,phosphate,3
MIMIC,procedure_site,2
MIMIC,kidney_injury,2
MIMIC,oasis,2
MIMIC,hco,2
MIMIC,oi,2
MIMIC,myocardial_infarct,2
MIMIC,total_co,2
MIMIC,paraplegia,2
MIMIC,pco,2
MIMIC,peptic_ulcer_disease,2
MIMIC,sii,2
MIMIC,shr,2
MIMIC,intercept,2
MIMIC,metastatic_solid_tumor,2
MIMIC,po,2
MIMIC,ldh,2
MIMIC,length_of_stay,2
MIMIC,septic_shock,2
MIMIC,sedation,2
MIMIC,lods,2
MIMIC,norepinephrine,2
MIMIC,peripheral_vascular_disease,2
MIMIC,male,2
MIMIC,saps_ii,2
MIMIC,red_blood_cell,2
MIMIC,pnn,2
MIMIC,nn,2
MIMIC,aado,2
MIMIC,cancer,2
MIMIC,fib,2
MIMIC,cad,2
MIMIC,black,2
MIMIC,central_infection,2
MIMIC,chronic_pulmonary_disease,2
MIMIC,coronary,2
MIMIC,ddimer,2
MIMIC,dementia,2
MIMIC,female,2
MIMIC,cvp,2
MIMIC,abl,2
MIMIC,vaso,1
MIMIC,aceiarb,1
MIMIC,avss,1
MIMIC,avpp,1
MIMIC,sbp_hf,1
MIMIC,sbp_hfn,1
MIMIC,sbp_lf,1
MIMIC,sbp_lfn,1
MIMIC,sbp_tot,1
MIMIC,sbp_vlf,1
MIMIC,scr_hf,1
MIMIC,scr_hfn,1
MIMIC,scr_lf,1
MIMIC,vasopressor_used_1_day_before_weaning,1
MIMIC,scr_lfn,1
MIMIC,scr_tot,1
MIMIC,scr_vlf,1
MIMIC,avpat,1
MIMIC,sd_prod,1
MIMIC,sddd,1
MIMIC,sdpat,1
MIMIC,sdpp,1
MIMIC,sdsd,1
MIMIC,back_pain,1
MIMIC,sampen,1
MIMIC,akf,1
MIMIC,vasopressors,1
MIMIC,breath,1
MIMIC,bnp,1
MIMIC,blood_product_transfusion,1
MIMIC,rate_of_norepinephrine,1
MIMIC,blood_pressure,1
MIMIC,absolute_lymphocyte,1
MIMIC,beta_blocker,1
MIMIC,renal,1
MIMIC,bd,1
MIMIC,renal_replacement_therapy,1
MIMIC,s,1
MIMIC,renal_replacement_treatment,1
MIMIC,renal_sofa,1
MIMIC,renal_system,1
MIMIC,basophils,1
MIMIC,rheumatic_disease,1
MIMIC,rheumatic_diseasea,1
MIMIC,rox_hr,1
MIMIC,rr_spect_slope,1
MIMIC,rrt,1
MIMIC,sdss,1
MIMIC,seda,1
MIMIC,avg,1
MIMIC,sedative,1
MIMIC,srr_vlf,1
MIMIC,ss_spect_slope,1
MIMIC,ards,1
MIMIC,syncope,1
MIMIC,systolic,1
MIMIC,tbil,1
MIMIC,tc,1
MIMIC,ap,1
MIMIC,the_utility_of_glucocorticoids,1
MIMIC,tidal_volume,1
MIMIC,tinn,1
MIMIC,tm,1
MIMIC,alpha,1
MIMIC,alb_drug,1
MIMIC,treatment_status_within_24h,1
MIMIC,tri,1
MIMIC,tumor,1
MIMIC,tyg,1
MIMIC,type_of_surgery,1
MIMIC,uo,1
MIMIC,vasoactive_agent,1
MIMIC,srr_tot,1
MIMIC,srr_lfn,1
MIMIC,srr_lfhf,1
MIMIC,sic_platelet,1
MIMIC,avdd,1
MIMIC,severe,1
MIMIC,severe_liver_diease,1
MIMIC,pp_totpwr,1
MIMIC,asthma,1
MIMIC,severity,1
MIMIC,shortness_of_breath,1
MIMIC,asian,1
MIMIC,sic,1
MIMIC,asa,1
MIMIC,srr_lf,1
MIMIC,siluwbc,1
MIMIC,sirs,1
MIMIC,vasopressin,1
MIMIC,artery_pressure,1
MIMIC,arterial_co,1
MIMIC,arrhythmia,1
MIMIC,srr_hf,1
MIMIC,srr_hfn,1
MIMIC,vasoactive_drug,1
MIMIC,pp_vlf,1
MIMIC,gain12_hf,1
MIMIC,pp_spect_slope,1
MIMIC,loop_diuretics,1
MIMIC,lactate_max_gas,1
MIMIC,latino,1
MIMIC,ldar,1
MIMIC,duration_of_icu_stay_this,1
MIMIC,ldl,1
MIMIC,length_of_icu_stay,1
MIMIC,dm,1
MIMIC,dizziness,1
MIMIC,lmir,1
MIMIC,logrmssd,1
MIMIC,los,1
MIMIC,pp_lf,1
MIMIC,lyapexp,1
MIMIC,lympcount,1
MIMIC,m_solid_tumor,1
MIMIC,dd_vlf,1
MIMIC,dd_totpwr,1
MIMIC,dd_spect_slope,1
MIMIC,abdominal_pain,1
MIMIC,dd_lf,1
MIMIC,dd_hf,1
MIMIC,daily_medications_taken,1
MIMIC,ecmo,1
MIMIC,krt,1
MIMIC,emergency,1
